trade_date,open,high,low,close,volume,vol,ma20,ma60,ma200,ma5_vol,ma20_vol,atr10,atr20,dif,dea,macd_bar,plus_di,minus_di,adx,ret_20d,amount
20220325,0.818,0.818,0.8,0.801,204212.0,204212.0,0.84985,0.9201333333333334,0.96117,176047.2,199030.3495,0.0221999999999999,0.0254999999999999,-0.0279806252948919,-0.0277064613886413,-0.0005483278125013,8.923884514435711,41.73228346456688,68.68212507132715,-12.459016393442624,
20220328,0.796,0.803,0.784,0.798,197791.0,197791.0,0.8438000000000001,0.9169833333333332,0.960305,179599.4,198609.3495,0.0211999999999999,0.0255999999999999,-0.0284874108953292,-0.0278626512899789,-0.0012495192107006,9.139784946236574,43.81720430107522,70.66263446145014,-13.166485310119691,
20220329,0.799,0.8,0.783,0.784,214478.0,214478.0,0.8368,0.9136333333333332,0.959485,188743.6,198595.5,0.0186999999999999,0.0259499999999999,-0.0296766313982891,-0.0282254473116409,-0.0029023681732963,10.240963855421704,36.14457831325297,71.23269931722926,-15.151515151515149,
20220330,0.79,0.797,0.786,0.797,242117.0,242117.0,0.8307499999999999,0.9104166666666668,0.958755,204759.0,200748.9,0.0157999999999999,0.0259999999999999,-0.0292331245969239,-0.0284269827686975,-0.0016122836564527,7.210031347962395,37.61755485893413,72.56800194563534,-13.180827886710231,
20220331,0.795,0.795,0.789,0.794,197474.0,197474.0,0.82515,0.9073666666666668,0.958,211214.4,200152.8,0.0140999999999999,0.0254999999999999,-0.0287918229765161,-0.0284999508102612,-0.0005837443325097,8.243727598566322,29.032258064516096,70.35265121706875,-12.362030905077258,
20220401,0.794,0.8,0.786,0.799,234704.0,234704.0,0.8205,0.9041833333333332,0.95719,217312.8,200719.6,0.0143999999999999,0.0248999999999999,-0.0277191015021053,-0.02834378094863,0.0012493588930495,10.606060606060623,30.681818181818148,67.65695242045251,-10.426008968609857,
20220406,0.795,0.8,0.792,0.798,248606.0,248606.0,0.8173,0.9009,0.95637,227475.8,197114.3,0.0135999999999999,0.0229999999999999,-0.0266425350876569,-0.0280035317764354,0.0027219933775571,12.173913043478278,22.173913043478244,63.450804138354854,-7.42459396751739,
20220407,0.796,0.797,0.773,0.776,229902.0,229902.0,0.8139,0.8971333333333332,0.95542,230560.6,199437.45,0.0149999999999999,0.0228499999999999,-0.0272504384941414,-0.0278529131199766,0.0012049492516704,13.145539906103302,29.577464788732375,60.02045070800142,-8.056872037914687,
20220408,0.778,0.782,0.753,0.762,203380.0,203380.0,0.8101499999999999,0.8932333333333332,0.9542500000000002,222813.2,198947.65,0.0170999999999999,0.0214499999999999,-0.028532978900998,-0.0279889262761809,-0.0010881052496342,2.3041474654377905,38.248847926267274,61.42450583654635,-8.960573476702505,
20220411,0.762,0.762,0.723,0.728,239303.0,239303.0,0.8045500000000001,0.8890999999999999,0.952975,231179.0,201173.5,0.019,0.0220999999999999,-0.0319249068106322,-0.0287761223830711,-0.006297568855122,2.040816326530614,46.12244897959184,63.11942109078364,-13.33333333333333,
20220412,0.728,0.743,0.716,0.741,220288.0,220288.0,0.79925,0.88545,0.95179,228295.8,202310.8,0.0199,0.0210499999999999,-0.0331815465482585,-0.0296572072161086,-0.0070486786642997,1.9531250000000016,46.875,64.64158857846836,-12.514757969303425,
20220413,0.741,0.741,0.722,0.723,184976.0,184976.0,0.7943,0.88135,0.95057,215569.8,202273.3,0.0199,0.0205499999999999,-0.0352238535045383,-0.0307705364737946,-0.0089066340614875,1.893939393939396,45.45454545454546,66.20987051679437,-12.043795620437958,
20220414,0.727,0.733,0.724,0.728,207034.0,207034.0,0.79125,0.8775999999999999,0.949285,210996.2,203888.9,0.0192,0.01895,-0.0360236797123981,-0.0318211651215153,-0.0084050291817656,1.8796992481203023,45.11278195488722,67.86648912754141,-7.731305449936632,
20220415,0.722,0.729,0.715,0.723,236750.0,236750.0,0.78635,0.8736166666666667,0.947995,217670.2,203997.05,0.0193,0.01755,-0.0366386583115772,-0.0327846637595277,-0.0077079891040989,1.923076923076924,42.692307692307715,69.53107433996539,-11.93666260657734,
20220418,0.727,0.728,0.707,0.725,221687.0,221687.0,0.7807999999999999,0.8698166666666667,0.94668,214147.0,205510.7,0.0206,0.01735,-0.0365434004241924,-0.0335364110924606,-0.0060139786634636,1.9011406844106469,41.825095057034225,71.42661065766887,-13.277511961722489,
20220419,0.725,0.735,0.719,0.721,194557.0,194557.0,0.77515,0.8659333333333332,0.94538,209000.8,207664.15,0.0208,0.0176,-0.0363714074876465,-0.0341034103714978,-0.0045359942322974,4.615384615384615,36.15384615384615,72.27491473363314,-13.549160671462834,
20220420,0.731,0.735,0.719,0.721,254756.0,254756.0,0.76955,0.8611833333333333,0.94407,222956.8,211400.45,0.0216,0.0176,-0.0358221662127157,-0.0344471615397414,-0.0027500093459486,4.633204633204633,35.907335907335906,73.79625054068323,-13.4453781512605,
20220421,0.716,0.72,0.693,0.699,244998.0,244998.0,0.763,0.8559333333333333,0.942775,230549.6,215212.5,0.0219,0.01845,-0.0367386049151179,-0.0349054502148167,-0.0036663094006024,4.3795620437956195,43.43065693430657,74.78533778931248,-15.78313253012048,
20220422,0.695,0.695,0.681,0.685,210588.0,210588.0,0.7558,0.8504166666666666,0.941405,225317.2,217639.9,0.0208,0.01895,-0.038154748002013,-0.0355553097722559,-0.005198876459514,4.225352112676058,46.12676056338026,76.74587724985193,-17.37032569360675,
20220425,0.68,0.68,0.633,0.638,273382.0,273382.0,0.74705,0.8442833333333333,0.939765,235656.2,223049.15,0.0221,0.02055,-0.0425787376227767,-0.0369599953423601,-0.0112374845608332,2.1739130434782616,55.59006211180122,79.877967611892,-21.52521525215252,
20220426,0.633,0.636,0.595,0.597,321071.0,321071.0,0.73685,0.8375333333333334,0.937925,260959.0,228892.1,0.0237,0.0218,-0.0488302538484716,-0.0393340470435824,-0.0189924136097783,1.9607843137254908,60.78431372549018,84.49483017970394,-25.468164794007496,
20220427,0.596,0.628,0.586,0.627,309244.0,309244.0,0.7283000000000001,0.8312333333333334,0.936165,271856.6,234464.75,0.026,0.02295,-0.0507785328988198,-0.0416229442146299,-0.0183111773683798,1.871657754010696,55.34759358288769,88.42314485568217,-21.42857142857143,
20220428,0.62,0.625,0.608,0.616,250328.0,250328.0,0.7199,0.8254166666666668,0.934415,272922.6,236257.25,0.0269,0.02305,-0.052603782492126,-0.0438191118701291,-0.0175693412439938,1.9230769230769236,51.37362637362636,88.71936924984472,-21.42857142857143,
20220429,0.616,0.658,0.616,0.657,354240.0,354240.0,0.7129000000000001,0.8203333333333334,0.93296,301653.0,241863.4,0.0297,0.0245,-0.0501636927718716,-0.0450880280504776,-0.0101513294427879,10.899182561307908,42.779291553133504,86.42404347951249,-17.56587202007528,
20220505,0.656,0.664,0.647,0.658,232467.0,232467.0,0.7061,0.8159666666666666,0.93147,293470.0,243613.05,0.0293,0.02495,-0.0476005034722777,-0.0455905231348376,-0.0040199606748801,12.885154061624654,42.01680672268906,83.64270237164077,-17.128463476070532,
